Staff_ID,Staff_Name,DATE_OF_JOINING,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,claims_handled,fraud_claims_handled,fraud_rate_handled,employee_department,employee_campus,employee_position,employee_seniority_years,is_contractor,employee_classification,has_foreign_citizenship,has_criminal_record,has_medical_history,employee_origin_country,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,is_abroad,trip_day_number,hostility_country_level,num_entries,num_unique_campus,late_exit_flag,entry_during_weekend,Insider_Risk_Label,Access_Time,Record_Accessed,Override_Activity,Investigation_Outcome
AGENT00016,Lawrence French,2001-03-27,6223 Kilmer Loop,#206,Arvada,CO,80403,5.0,2.0,0.4,R&D Department,Campus A,Systems Engineer,25,0,2,0,0,1,Ukraine,0,0,35,0,0,0.0,0,1,1,0,0,0,2026-04-05 20:35:30.523696,CLM045258,No override recorded,No findings
AGENT00017,Robert Gordon,2003-09-09,1100 Cleveland Street,,Fayetteville,AR,72701,14.0,3.0,0.21428571428571427,R&D Department,Campus B,Algorithm Engineer,17,0,2,1,0,0,Russia,0,0,44,0,0,0.0,0,0,0,0,0,0,2026-07-18 20:35:30.523728,CLM025014,No override recorded,No findings
AGENT00018,Rita Allaire,1990-09-30,9457 Winfield Place,,Montgomery,AL,36117,29.0,5.0,0.1724137931034483,Project Management,Campus A,Secretary,2,0,2,0,0,0,France,18,0,8,0,0,0.0,0,1,1,0,0,0,2026-05-15 20:35:30.523762,CLM004147,No override recorded,No findings
AGENT00019,Letitia Friedman,2015-03-03,2728 Hale Avenue,,Louisville,KY,40211,23.0,1.0,0.043478260869565216,Engineering Department,Campus B,Design Engineer,4,0,2,0,0,0,Israel,1,0,9,0,0,0.0,0,1,1,0,0,0,2026-05-25 20:35:30.523794,CLM020198,No override recorded,No findings
AGENT00020,Freddy Kelly,2004-11-07,514 East 38th Street,,Savannah,GA,31401,11.0,3.0,0.2727272727272727,Finance,Campus C,Financial Analyst,16,0,2,0,0,0,Israel,99,0,0,0,0,0.0,0,1,1,0,0,0,2026-04-30 20:35:30.523826,CLM010662,Approved above authority limit,No findings
AGENT00021,Robert Barnes,1992-08-01,54 Pine Meadow Drive,,Hyde Park,VT,5655,35.0,6.0,0.17142857142857143,Operations and Manufacturing,Campus B,Secretary,8,1,1,0,0,0,France,21,0,0,0,0,0.0,0,1,1,0,0,0,2026-07-23 20:35:30.523858,CLM047673,Approved above authority limit,No findings
AGENT00022,Jeffery Mcbride,1997-01-13,2032 4th Street Northwest,,Washington,DC,20001,6.0,3.0,0.5,Engineering Department,Campus C,Secretary,10,0,3,1,0,0,USA,4,0,0,0,0,0.0,0,0,0,0,0,0,2026-05-11 20:35:30.523889,CLM029958,No override recorded,Unsubstantiated
AGENT00023,Amy Venice,2009-12-11,386 Pratt Road,,,VT,5033,17.0,7.0,0.4117647058823529,R&D Department,Campus B,Head of R&D,17,0,2,0,0,0,Israel,0,0,98,0,0,0.0,0,0,0,0,0,1,2026-04-10 20:35:30.523920,CLM033481,Approved above authority limit,Under investigation
AGENT00024,Herbert Harris,1991-05-10,2433 Southwest 36th Street,,Oklahoma City,OK,73109,13.0,4.0,0.3076923076923077,Information Technology,Campus C,Enterprise Systems Developer (ERP / CRM / SAP),0,0,2,0,0,0,Israel,56,0,119,0,0,0.0,0,0,0,0,0,1,2026-04-30 20:35:30.523953,CLM004644,No override recorded,Under investigation
AGENT00025,Elizabeth Mobley,2010-12-08,19020 North 68th Avenue,,Glendale,AZ,85308,26.0,4.0,0.15384615384615385,Operations and Manufacturing,Campus C,Warehouse Manager,10,0,1,0,0,0,Germany,10,0,0,0,0,0.0,0,0,0,0,0,0,2026-03-22 20:35:30.523985,CLM034427,Approved above authority limit,No findings
AGENT00026,Josephine Amorosi,2011-09-23,1650 North Sang Avenue,#211,Fayetteville,AR,72703,69.0,18.0,0.2608695652173913,Information Technology,Campus A,IT Director,13,1,1,0,0,0,Israel,2,0,0,0,0,0.0,0,0,0,0,0,0,2026-04-12 20:35:30.524047,CLM001509,No override recorded,Unsubstantiated
AGENT00027,Jaqueline Hanson,2010-04-20,6506 North Lagoon Drive,,Panama City Beach,FL,32408,8.0,1.0,0.125,Engineering Department,Campus C,Secretary,7,0,2,0,0,1,Ukraine,0,0,2,0,0,0.0,0,1,1,0,0,0,2026-06-10 20:35:30.524093,CLM033062,No override recorded,No findings
AGENT00028,Pam Evans,2012-07-30,5575 South Dakota Avenue Northeast,,Washington,DC,20011,33.0,8.0,0.24242424242424243,Operations and Manufacturing,Campus A,Warehouse Manager,5,0,1,0,0,0,Russia,31,0,0,0,0,0.0,0,1,1,0,1,0,2026-06-08 20:35:30.524132,CLM012257,No override recorded,No findings
AGENT00029,Heather Cantwell,1995-04-19,6521 North 65th Avenue,#1D,Glendale,AZ,85301,38.0,14.0,0.3684210526315789,Human Resources,Campus B,Employee Welfare Coordinator,26,0,1,0,0,0,Israel,0,0,0,0,0,0.0,0,2,1,0,0,0,2026-06-21 20:35:30.524167,CLM047227,No override recorded,No findings
AGENT00030,Georgia Kenny,1996-02-21,33300 Mission Boulevard,#APT 174,Union City,CA,94587,4.0,1.0,0.25,Operations and Manufacturing,Campus A,Manufacturing Engineer,4,0,1,0,0,0,Ukraine,0,0,0,0,1,3.0,1,0,0,0,0,0,2026-08-10 20:35:30.524202,CLM030680,No override recorded,No findings
AGENT00031,Grace Rogers,2007-09-16,5436 Dorbrandt Street,#APT 000002,Anchorage,AK,99518,42.0,13.0,0.30952380952380953,R&D Department,Campus C,Integration and Testing Engineer,26,0,2,0,0,0,Israel,0,0,81,0,0,0.0,0,0,0,0,0,1,2026-03-31 20:35:30.524237,CLM048271,Unscheduled record access,Under investigation
AGENT00032,Russell Frost,1991-08-07,329 Mill Road,,Montpelier,VT,5602,7.0,1.0,0.14285714285714285,Operations and Manufacturing,Campus C,Logistics Manager,16,0,1,0,0,0,France,93,0,0,0,0,0.0,0,0,0,0,0,0,2026-08-28 20:35:30.524270,CLM006610,No override recorded,No findings
AGENT00033,Arturo Cole,1996-11-15,72 Salmon Road,,Alameda,CA,94502,4.0,2.0,0.5,R&D Department,Campus C,Algorithm Engineer,19,0,2,0,0,0,France,0,0,42,0,0,0.0,0,1,1,0,0,0,2026-08-15 20:35:30.524304,CLM022722,No override recorded,Unsubstantiated
AGENT00034,Yvonne Sanders,2007-06-01,3808 Richland Avenue,,Nashville,TN,37205,132.0,26.0,0.19696969696969696,Engineering Department,Campus B,Head of Engineering,26,0,3,0,0,0,Israel,0,0,29,0,0,0.0,0,1,1,0,0,0,2026-05-10 20:35:30.524383,CLM024583,No override recorded,Unsubstantiated
AGENT00035,David Dolan,1996-11-22,849 East Victoria Street,#204,Carson,CA,90746,140.0,31.0,0.22142857142857142,Project Management,Campus C,Secretary,4,0,2,0,0,0,UK,7,0,0,0,0,0.0,0,1,1,0,0,0,2026-06-28 20:35:30.524424,CLM000771,No override recorded,Unsubstantiated
AGENT00036,Gregory Williamson,1991-09-11,1460 Berger Street,,Odenton,MD,21113,62.0,19.0,0.3064516129032258,Engineering Department,Campus C,Secretary,7,0,2,0,0,1,Ukraine,5,0,0,0,0,0.0,0,1,1,0,0,0,2026-06-04 20:35:30.524460,CLM030568,No override recorded,Unsubstantiated
AGENT00037,Teresa Garcia,2016-12-19,140 West Cooper Avenue,,Aspen,CO,81611,14.0,0.0,0.0,Engineering Department,Campus A,Design Engineer,7,0,2,0,0,0,Ethiopia,18,4,0,0,0,0.0,0,1,1,0,0,0,2026-04-25 20:35:30.524495,CLM043285,No override recorded,No findings
AGENT00038,Harold Ward,1993-01-24,171 Brickhill Circle,,Pooler,GA,31322,2.0,0.0,0.0,Engineering Department,Campus A,Systems Engineer,17,0,3,0,0,0,Israel,1,0,0,0,0,0.0,0,0,0,0,0,0,2026-05-17 20:35:30.524529,CLM013874,No override recorded,No findings
AGENT00039,Jeremy Fields,2002-06-10,2115 Longest Avenue,,Louisville,KY,40204,54.0,12.0,0.2222222222222222,Project Management,Campus C,Project Coordinator,11,0,2,0,0,0,Morocco,75,0,0,0,0,0.0,0,0,0,0,0,0,2026-05-17 20:35:30.524564,CLM008822,No override recorded,Unsubstantiated
AGENT00040,Michael Riley,2010-12-15,224 Michael Sears Road,,Belchertown,MA,1007,22.0,5.0,0.22727272727272727,Marketing and Business Development,Campus B,Marketing Manager,8,0,2,0,0,0,Russia,0,0,2,0,0,0.0,0,0,0,0,0,0,2026-03-26 20:35:30.524599,CLM037031,No override recorded,Unsubstantiated
AGENT00041,John Tallman,2006-04-22,2313 Mansfield Avenue,,Del City,OK,73115,3.0,0.0,0.0,Finance,Campus C,Accountant,12,1,2,0,0,0,Israel,11,0,0,0,0,0.0,0,2,1,0,0,0,2026-04-16 20:35:30.524633,CLM046111,No override recorded,No findings
AGENT00042,Esther Ahmed,2010-02-27,119 Redwood Road,,Manchester,CT,6040,27.0,5.0,0.18518518518518517,Operations and Manufacturing,Campus A,Procurement Officer,24,0,1,0,0,1,Israel,71,0,0,0,0,0.0,0,1,1,0,0,0,2026-08-02 20:35:30.524668,CLM041737,No override recorded,No findings
AGENT00043,Mary Norris,2011-08-07,5073 West 65th Place,,Arvada,CO,80003,3.0,2.0,0.6666666666666666,Operations and Manufacturing,Campus C,Secretary,15,0,1,0,0,0,Israel,5,0,0,0,0,0.0,0,0,0,0,0,0,2026-03-26 20:35:30.524701,CLM021652,No override recorded,No findings
AGENT00044,Earnest White,2013-08-21,7564 Moore Court,,Arvada,CO,80005,98.0,24.0,0.24489795918367346,Information Technology,Campus A,Data Scientist,0,0,2,0,0,0,Germany,11,0,0,0,0,0.0,0,1,1,0,0,0,2026-08-31 20:35:30.524735,CLM012920,Approved above authority limit,No findings
AGENT00045,Frances Melia,2001-03-09,2139 Glynnwood Drive,,Savannah,GA,31404,10.0,3.0,0.3,Security and Information Security,Campus B,Chief Information Security Officer (CISO),21,0,4,0,0,0,Russia,0,0,5,1,0,0.0,0,1,1,0,0,1,2026-05-30 20:35:30.524769,CLM026051,Approved above authority limit,Confirmed - insider risk
AGENT00046,William Ramos,2001-11-11,22825 Paseo Place,,Hayward,CA,94541,42.0,13.0,0.30952380952380953,Marketing and Business Development,Campus C,Business Development Manager,7,1,1,0,0,0,Hungary,28,0,0,0,0,0.0,0,1,1,0,0,0,2026-08-03 20:35:30.524801,CLM008542,No override recorded,No findings
AGENT00047,Henry Arends,2009-06-13,60 Bagley Street,,Saint Johnsbury,VT,5819,14.0,5.0,0.35714285714285715,Marketing and Business Development,Campus A,Marketing Manager,14,0,3,1,1,0,Israel,4,0,0,0,0,0.0,0,2,1,0,0,0,2026-05-24 20:35:30.524832,CLM010409,No override recorded,No findings
AGENT00048,Olivia Cramer,2008-03-27,91 Eldridge Street,,Manchester,CT,6040,26.0,6.0,0.23076923076923078,R&D Department,Campus C,Head of R&D,11,0,3,1,0,0,Israel,2,0,0,0,0,0.0,0,1,1,0,0,0,2026-05-13 20:35:30.524864,CLM019138,No override recorded,No findings
AGENT00049,Saul Conyers,2007-12-06,6215 Sheridan Boulevard,,Arvada,CO,80003,26.0,11.0,0.4230769230769231,Operations and Manufacturing,Campus B,Secretary,6,0,1,0,0,0,Ethiopia,4,0,0,0,0,0.0,0,0,0,0,0,0,2026-04-17 20:35:30.524895,CLM023700,No override recorded,No findings
AGENT00050,Barry Reynolds,2009-06-22,8417 Timothy Lane,,Oklahoma City,OK,73135,9.0,1.0,0.1111111111111111,R&D Department,Campus C,Head of R&D,17,0,3,0,0,0,Ethiopia,0,0,7,0,0,0.0,0,0,0,0,0,0,2026-06-07 20:35:30.524927,CLM011412,No override recorded,No findings
AGENT00051,Andrea Schiller,2006-04-19,190 Countryside Drive,,Farmington,AR,72730,136.0,37.0,0.27205882352941174,Project Management,Campus C,Project Manager,7,0,3,1,0,0,Sudan,4,0,5,0,0,0.0,0,1,1,0,0,0,2026-06-07 20:35:30.524958,CLM023950,No override recorded,No findings
AGENT00052,Evelyn Mckinney,2018-05-02,20 Dearborn Drive,,Manchester,CT,6042,61.0,21.0,0.3442622950819672,Engineering Department,Campus B,Secretary,4,0,2,1,0,1,Russia,22,4,0,0,0,0.0,0,1,1,0,0,0,2026-05-11 20:35:30.524990,CLM030857,No override recorded,No findings
AGENT00053,Stella Gilbert,1991-10-12,811 River Dell Drive,,Louisville,KY,40206,141.0,34.0,0.24113475177304963,Engineering Department,Campus A,Secretary,7,0,3,0,0,0,Israel,0,0,0,0,0,0.0,0,1,1,0,1,0,2026-09-03 20:35:30.525049,CLM003962,No override recorded,No findings
AGENT00054,William Vang,1990-12-21,2 Addison Place,,Bloomingdale,GA,31302,96.0,22.0,0.22916666666666666,Marketing and Business Development,Campus B,Business Development Manager,10,0,1,1,0,1,Ukraine,16,0,5,0,0,0.0,0,2,1,0,0,0,2026-07-13 20:35:30.525095,CLM022263,No override recorded,No findings
AGENT00055,Wendi Hensley,1992-02-21,7730 Wilkinson Road,,Nashville,TN,37080,34.0,8.0,0.23529411764705882,Information Technology,Campus A,IT Director,12,1,1,0,0,1,Israel,0,0,40,0,0,0.0,0,0,0,0,0,0,2026-06-11 20:35:30.525133,CLM018004,Approved above authority limit,No findings
AGENT00056,Daniel Nance,2016-11-28,2500 Medallion Drive,#APT 148,Union City,CA,94587,111.0,30.0,0.2702702702702703,R&D Department,Campus C,Systems Engineer,9,0,3,0,0,0,Russia,1,0,0,0,0,0.0,0,0,0,0,0,0,2026-08-31 20:35:30.525168,CLM038284,No override recorded,No findings
AGENT00057,Debra Tripp,2011-03-12,3194 Bladensburg Road Northeast,,Washington,DC,20018,0.0,0.0,0.0,Operations and Manufacturing,Campus C,Operations Manager,20,0,1,0,0,0,Germany,16,0,0,0,0,0.0,0,1,1,0,0,0,2026-04-05 20:35:30.525202,N/A,No override recorded,No findings
AGENT00058,Nannie Thomas,1994-08-31,827 10th Street Northeast,,Washington,DC,20002,15.0,5.0,0.3333333333333333,Operations and Manufacturing,Campus A,Manufacturing Engineer,7,0,1,0,0,0,France,15,0,0,0,0,0.0,0,1,1,0,1,0,2026-07-14 20:35:30.525236,CLM020418,No override recorded,No findings
AGENT00059,Suzanne Amador,2008-12-14,903 Burton Avenue,,Louisville,KY,40208,1.0,0.0,0.0,R&D Department,Campus B,Systems Engineer,5,0,2,0,0,0,Ukraine,12,0,0,0,0,0.0,0,0,0,0,0,0,2026-05-28 20:35:30.525269,CLM043103,Approved above authority limit,No findings
AGENT00060,Vincent Rule,2000-12-21,2502 Adrienne Way,,Louisville,KY,40216,19.0,3.0,0.15789473684210525,R&D Department,Campus B,Systems Engineer,4,0,3,0,0,0,Morocco,14,0,0,0,0,0.0,0,0,0,0,0,0,2026-04-11 20:35:30.525301,CLM028454,No override recorded,No findings
AGENT00061,Curtis Griffin,1994-07-29,1780 142nd Avenue,,San Leandro,CA,94578,17.0,9.0,0.5294117647058824,Finance,Campus A,Accountant,23,0,1,0,0,0,Israel,0,0,5,0,0,0.0,0,0,0,0,0,0,2026-07-10 20:35:30.525339,CLM032774,No override recorded,No findings
AGENT00062,Diane Marburger,2012-08-24,2001 Van Hoose Drive,,Fayetteville,AR,72701,11.0,2.0,0.18181818181818182,R&D Department,Campus B,Head of R&D,21,0,2,0,1,0,Russia,0,0,0,0,1,5.0,0,0,0,0,0,0,2026-07-05 20:35:30.525376,CLM013967,No override recorded,No findings
AGENT00063,Leslie Lee,1998-10-17,13525 West Stella Lane,,Litchfield Park,AZ,85340,63.0,21.0,0.3333333333333333,R&D Department,Campus B,Head of R&D,17,0,2,0,0,0,Russia,0,0,0,0,1,1.0,0,0,0,0,0,0,2026-09-13 20:35:30.525407,CLM008467,Approved above authority limit,No findings
AGENT00064,James Evans,2003-05-29,93 Marble Hill Road,,Waitsfield,VT,5673,23.0,7.0,0.30434782608695654,R&D Department,Campus A,Systems Engineer,19,1,2,0,0,0,UK,0,0,25,0,0,0.0,0,0,0,0,0,0,2026-05-21 20:35:30.525440,CLM014162,No override recorded,No findings
AGENT00065,Elizabeth Curry,2009-08-17,13066 North 56th Avenue,,Glendale,AZ,85304,7.0,2.0,0.2857142857142857,Operations and Manufacturing,Campus C,Operations Manager,13,0,1,0,0,1,Israel,0,0,8,0,0,0.0,0,1,1,0,0,0,2026-07-12 20:35:30.525472,CLM039391,No override recorded,No findings
AGENT00066,Danielle Visvardis,2014-09-16,35 Keach Avenue,,Worcester,MA,1607,39.0,11.0,0.28205128205128205,Finance,Campus C,Secretary,16,0,3,0,0,0,Ukraine,5,0,7,0,0,0.0,0,0,0,0,0,0,2026-06-21 20:35:30.525506,CLM038481,No override recorded,No findings
AGENT00067,Jonathan Smith,2003-08-09,9401 3rd Street Road,,Louisville,KY,40272,5.0,1.0,0.2,R&D Department,Campus B,Systems Engineer,4,0,2,1,0,0,Sudan,2,0,0,0,0,0.0,0,0,0,0,0,0,2026-06-28 20:35:30.525538,CLM002609,No override recorded,Unsubstantiated
AGENT00068,Debra Ortega,2015-06-17,61 Plymouth Lane,,Manchester,CT,6040,78.0,27.0,0.34615384615384615,Human Resources,Campus A,Employee Welfare Coordinator,12,0,1,0,0,0,France,26,0,0,0,0,0.0,0,0,0,0,0,0,2026-03-28 20:35:30.525571,CLM005010,No override recorded,No findings
AGENT00069,Christian Nusbaum,2016-07-21,3752 Roswell Place,,Montgomery,AL,36116,2.0,2.0,1.0,Operations and Manufacturing,Campus B,Secretary,11,0,2,0,0,0,Israel,0,0,21,0,0,0.0,0,2,1,0,0,0,2026-04-12 20:35:30.525602,CLM029036,No override recorded,Unsubstantiated
AGENT00070,Sylvia Buckley,1996-10-19,517 Retford Drive,,Severna Park,MD,21146,182.0,39.0,0.21428571428571427,R&D Department,Campus C,Integration and Testing Engineer,7,0,3,0,0,0,France,6,0,0,0,0,0.0,0,0,0,0,0,0,2026-04-05 20:35:30.525634,CLM003892,No override recorded,No findings
AGENT00071,Karen Olsen,2003-07-17,649 Praderia Circle,,Fremont,CA,94539,56.0,14.0,0.25,R&D Department,Campus A,Development Engineer (Hardware / Software / Mechanical),25,0,2,0,0,0,Ethiopia,0,0,0,0,0,0.0,0,0,0,0,0,0,2026-06-12 20:35:30.525664,CLM022111,No override recorded,No findings
AGENT00072,Kate Mendes,1992-12-02,100 Birney Street,#A6,Peabody,MA,1960,14.0,5.0,0.35714285714285715,Marketing and Business Development,Campus C,Secretary,2,0,1,0,0,0,France,9,0,0,0,0,0.0,0,2,1,0,0,0,2026-09-10 20:35:30.525696,CLM024984,Approved above authority limit,No findings
AGENT00073,Edgar Vazquez,2011-07-07,4516 Old Seward Highway,,Anchorage,AK,99503,0.0,0.0,0.0,Engineering Department,Campus B,Test Engineer,26,0,3,1,0,0,Israel,2,0,40,0,0,0.0,0,1,1,0,0,0,2026-07-08 20:35:30.525727,N/A,No override recorded,No findings
AGENT00074,Claire Decinti,1999-04-22,29 Vista Flores,,Pleasanton,CA,94566,68.0,13.0,0.19117647058823528,Operations and Manufacturing,Campus A,Procurement Officer,24,0,1,0,0,1,Israel,0,0,6,0,0,0.0,0,1,1,0,0,0,2026-05-23 20:35:30.525759,CLM043597,No override recorded,No findings
AGENT00075,Judy Kesselman,2001-02-10,89 Plaistow Road,,Haverhill,MA,1830,46.0,9.0,0.1956521739130435,Information Technology,Campus A,Secretary,7,0,1,0,0,0,Israel,4,0,0,0,0,0.0,0,1,1,0,1,0,2026-05-26 20:35:30.525793,CLM000741,No override recorded,No findings
AGENT00076,Jason Dowling,1996-04-27,235 Hugh Thomas Drive,,Panama City,FL,32404,56.0,11.0,0.19642857142857142,Operations and Manufacturing,Campus A,Operations Manager,18,1,2,0,0,1,Ukraine,18,0,0,0,0,0.0,0,0,0,0,0,0,2026-07-19 20:35:30.525827,CLM041232,No override recorded,No findings
AGENT00077,Larry Sheley,1993-08-08,313 Lone Oak Drive,,Norman,OK,73071,55.0,8.0,0.14545454545454545,Information Technology,Campus C,Information Security Specialist,19,0,2,0,1,0,France,0,0,45,0,0,0.0,0,1,1,0,0,0,2026-05-09 20:35:30.525861,CLM024801,No override recorded,Unsubstantiated
AGENT00078,Shane Mclarty,2017-04-10,369 Ruth Avenue,,Mountain View,CA,94043,2.0,0.0,0.0,R&D Department,Campus A,Integration and Testing Engineer,23,0,2,1,0,1,Israel,0,0,0,0,1,8.0,3,0,0,0,0,1,2026-04-22 20:35:30.525896,CLM007380,No override recorded,Unsubstantiated
AGENT00079,Rivka Robinson,1997-12-11,1008 Rhode Island Avenue Northwest,,Washington,DC,20001,19.0,4.0,0.21052631578947367,Operations and Manufacturing,Campus B,Manufacturing Engineer,18,1,1,1,0,0,Romania,4,0,4,0,0,0.0,0,1,1,0,1,0,2026-09-02 20:35:30.525929,CLM037870,Approved above authority limit,No findings
AGENT00080,Gary Simmons,2014-07-10,11843 North 60th Avenue,,Glendale,AZ,85304,10.0,1.0,0.1,R&D Department,Campus C,Development Engineer (Hardware / Software / Mechanical),8,0,2,0,0,0,Russia,0,0,45,0,0,0.0,0,1,1,0,0,0,2026-05-17 20:35:30.525962,CLM026076,No override recorded,No findings
AGENT00081,Frances Kocka,1995-07-02,5244 West Port Au Prince Lane,,Glendale,AZ,85306,86.0,16.0,0.18604651162790697,R&D Department,Campus A,Algorithm Engineer,14,1,3,0,0,0,Israel,0,0,32,0,0,0.0,0,1,1,0,0,0,2026-07-15 20:35:30.525995,CLM022858,No override recorded,No findings
AGENT00082,Bruce Rollins,2015-03-13,1054 Overton Lea Road,,Nashville,TN,37220,42.0,9.0,0.21428571428571427,Marketing and Business Development,Campus B,Business Development Manager,10,0,1,1,0,1,Ukraine,13,2,0,0,0,0.0,0,0,0,0,0,0,2026-05-26 20:35:30.526062,CLM000059,No override recorded,No findings
AGENT00083,Christopher Fontenot,1990-06-29,9904 Daniel Drive,,Louisville,KY,40118,15.0,4.0,0.26666666666666666,Operations and Manufacturing,Campus A,Secretary,2,0,1,0,0,0,Israel,27,0,5,0,0,0.0,0,0,0,0,0,0,2026-08-30 20:35:30.526102,CLM028091,No override recorded,Unsubstantiated
AGENT00084,Brandon Fujii,2011-07-08,4231 Laurel Street,#APT 000101,Anchorage,AK,99508,4.0,1.0,0.25,Operations and Manufacturing,Campus B,Operations Manager,11,0,1,1,0,0,Israel,21,0,0,0,0,0.0,0,0,0,0,0,0,2026-05-23 20:35:30.526139,CLM036468,No override recorded,No findings
