document_id,Customer_ID,Claim_ID,upload_time,file_type,file_size_kb,document_type,ocr_text,duplicate_group_id,linked_identity_change,document_similarity_score,document_similarity_flag
DOC-00023,CUST018006,CLM044047,2026-07-18 20:35:30,JPG,2529,investigation_note,INVESTIGATION NOTE. Case relates to claimant Kylie Morales. Flagged for review due to unusual document upload pattern following identity change on 2025-10-28. Staff override recorded by Mark Johnson. Handled by branch office during standard working hours. Follow-up scheduled with the claims handler within 5 working days.,,1,0.655,LOW
DOC-00024,CUST017372,CLM034710,2026-04-06 20:35:30,PNG,315,kyc_update,"KYC UPDATE FORM. Customer: Blake Harrell. Previous Address: 807 Marc Mountains Apt. 071, Toniland, NY 85190. New Address: 778 Michael Haven, Ortizmouth, TX 78867. Reason for change: relocation. Verified by staff member on 2026-09-01. Handled by branch office during standard working hours. Supporting documents received by email attachment.",,1,0.508,LOW
DOC-00025,CUST011930,CLM041514,2026-06-04 20:35:30,DOCX,901,investigation_note,INVESTIGATION NOTE. Case relates to claimant Mark Cook. Flagged for review due to unusual document upload pattern following identity change on 2025-07-07. Staff override recorded by Justin Hughes. Additional photographic evidence submitted separately.,,1,0.821,MEDIUM
DOC-00026,CUST010082,CLM005911,2026-09-09 20:35:30,PDF,2732,investigation_note,INVESTIGATION NOTE. Case relates to claimant Ashley Singleton. Flagged for review due to unusual document upload pattern following identity change on 2025-02-28. Staff override recorded by Dominique Hines. Supporting documents received by email attachment. Additional photographic evidence submitted separately.,,1,0.796,MEDIUM
DOC-00027,CUST016924,CLM045475,2026-09-14 20:35:30,DOCX,2072,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Ashley Perkins. ID Number: 348-24-8130. Date of Birth: 1990-11-07. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-09-24. Additional photographic evidence submitted separately. Follow-up scheduled with the claims handler within 5 working days.,,1,0.673,LOW
DOC-00028,CUST001516,CLM035616,2026-07-31 20:35:30,PDF,1349,claim_form,"INSURANCE CLAIM FORM. Claimant: Austin Osborne. Policy Number: POL-780613. Date of Incident: 2026-05-18. Description: Vehicle damage sustained in a collision on Laura Pass. Estimated repair cost: N$ 1,780. Signed: Austin Osborne. Additional photographic evidence submitted separately.",,1,0.682,LOW
DOC-00029,CUST008727,CLM008616,2026-06-22 20:35:30,PNG,1874,claim_form,"INSURANCE CLAIM FORM. Claimant: Thomas Brown. Policy Number: POL-522096. Date of Incident: 2026-06-05. Description: Vehicle damage sustained in a collision on Scott Orchard. Estimated repair cost: N$ 81,473. Signed: Thomas Brown. Supporting documents received by email attachment.",,1,0.764,MEDIUM
DOC-00030,CUST002655,CLM003081,2026-04-14 20:35:30,PNG,4471,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: James Bryant. ID Number: 342-61-8509. Date of Birth: 1977-03-20. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-03-23. Customer contacted via telephone for confirmation.,,1,0.782,MEDIUM
DOC-00031,CUST006354,CLM007273,2026-04-03 20:35:30,JPG,728,kyc_update,"KYC UPDATE FORM. Customer: Michelle Hampton. Previous Address: 40415 Douglas Summit Suite 338, Sarahview, DC 14817. New Address: 08330 Robert Stravenue, Garciaberg, AL 72636. Reason for change: relocation. Verified by staff member on 2026-04-17. Customer contacted via telephone for confirmation.",,1,0.456,LOW
DOC-00032,CUST010600,CLM032556,2026-07-09 20:35:30,JPG,3448,kyc_update,"KYC UPDATE FORM. Customer: Brooke Delgado. Previous Address: 8516 Jack Dam Suite 530, Patrickmouth, WV 35496. New Address: USNV Aguilar, FPO AP 01999. Reason for change: relocation. Verified by staff member on 2026-07-24. Handled by branch office during standard working hours. Follow-up scheduled with the claims handler within 5 working days.",,1,0.485,LOW
DOC-00033,CUST018805,CLM012929,2026-05-08 20:35:30,PDF,3158,claim_form,"INSURANCE CLAIM FORM. Claimant: Ian Young. Policy Number: POL-839175. Date of Incident: 2026-02-13. Description: Vehicle damage sustained in a collision on Franklin Walk. Estimated repair cost: N$ 15,320. Signed: Ian Young. Additional photographic evidence submitted separately.",,1,0.773,MEDIUM
DOC-00034,CUST008397,CLM036516,2026-04-24 20:35:30,JPG,140,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Jacqueline Vance. ID Number: 458-77-0798. Date of Birth: 1964-11-26. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-01-30. Follow-up scheduled with the claims handler within 5 working days. Additional photographic evidence submitted separately.,,1,0.739,MEDIUM
DOC-00035,CUST010712,CLM001755,2026-08-11 20:35:30,JPG,955,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Kara Atkinson. ID Number: 368-40-4286. Date of Birth: 1971-07-28. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-09-19. Additional photographic evidence submitted separately. Handled by branch office during standard working hours.,,1,0.722,MEDIUM
DOC-00036,CUST019720,CLM019334,2026-08-24 20:35:30,PDF,2306,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Kimberly May. ID Number: 869-11-0520. Date of Birth: 1956-02-18. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-03-11. Supporting documents received by email attachment. Follow-up scheduled with the claims handler within 5 working days.,,1,0.677,LOW
DOC-00037,CUST001065,CLM017538,2026-09-01 20:35:30,PDF,3133,claim_form,"INSURANCE CLAIM FORM. Claimant: Michelle Sanders. Policy Number: POL-581354. Date of Incident: 2024-11-27. Description: Vehicle damage sustained in a collision on Dawson Roads. Estimated repair cost: N$ 82,053. Signed: Michelle Sanders. Additional photographic evidence submitted separately.",,1,0.595,LOW
DOC-00038,CUST003319,CLM007061,2026-04-02 20:35:30,PNG,3295,investigation_note,INVESTIGATION NOTE. Case relates to claimant Derrick Adams. Flagged for review due to unusual document upload pattern following identity change on 2025-10-11. Staff override recorded by Christopher Hill. Handled by branch office during standard working hours.,,1,0.734,MEDIUM
DOC-00039,CUST014652,CLM000569,2026-04-03 20:35:30,DOCX,3313,kyc_update,"KYC UPDATE FORM. Customer: Ashley Wright. Previous Address: 382 Mark Meadow, Hallfurt, SC 24677. New Address: 0937 Price Squares Apt. 341, Port Monicaburgh, MN 43228. Reason for change: relocation. Verified by staff member on 2024-12-25. Supporting documents received by email attachment.",,1,0.634,LOW
DOC-00040,CUST003162,CLM045710,2026-07-08 20:35:30,PNG,4050,investigation_note,INVESTIGATION NOTE. Case relates to claimant Brian Lambert. Flagged for review due to unusual document upload pattern following identity change on 2024-10-08. Staff override recorded by Vincent Edwards MD. Supporting documents received by email attachment. Additional photographic evidence submitted separately.,,1,0.781,MEDIUM
DOC-00041,CUST007968,CLM007433,2026-07-17 20:35:30,JPG,421,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Gregory Montoya. ID Number: 643-54-6147. Date of Birth: 1976-12-04. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-05-26. Supporting documents received by email attachment. Customer contacted via telephone for confirmation.,,1,0.705,MEDIUM
DOC-00042,CUST005065,CLM025367,2026-04-08 20:35:30,PNG,1614,kyc_update,"KYC UPDATE FORM. Customer: Brooke Bryant. Previous Address: 9731 Donald Crossing, Bellchester, MD 18828. New Address: 89994 Melanie Shoals, Jamiehaven, ID 98522. Reason for change: relocation. Verified by staff member on 2025-02-05. Supporting documents received by email attachment. Additional photographic evidence submitted separately.",,1,0.406,LOW
DOC-00043,CUST000214,CLM012772,2026-07-23 20:35:30,DOCX,1654,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Matthew Bowers. ID Number: 085-82-8792. Date of Birth: 1981-11-23. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-01-28. Customer contacted via telephone for confirmation. Follow-up scheduled with the claims handler within 5 working days.,,1,0.665,LOW
DOC-00044,CUST015454,CLM000480,2026-05-23 20:35:30,DOCX,4454,claim_form,"INSURANCE CLAIM FORM. Claimant: Richard Adams. Policy Number: POL-663338. Date of Incident: 2025-05-24. Description: Vehicle damage sustained in a collision on Wayne Center. Estimated repair cost: N$ 13,310. Signed: Richard Adams. Supporting documents received by email attachment. Customer contacted via telephone for confirmation.",,1,0.693,LOW
DOC-00045,CUST006316,CLM047053,2026-06-22 20:35:30,DOCX,2700,claim_form,"INSURANCE CLAIM FORM. Claimant: Makayla Steele. Policy Number: POL-873646. Date of Incident: 2025-03-21. Description: Vehicle damage sustained in a collision on Eric Expressway. Estimated repair cost: N$ 67,998. Signed: Makayla Steele. Supporting documents received by email attachment. Customer contacted via telephone for confirmation.",,1,0.849,MEDIUM
DOC-00046,CUST002582,CLM025626,2026-06-12 20:35:30,DOCX,3131,investigation_note,INVESTIGATION NOTE. Case relates to claimant Joel Lara. Flagged for review due to unusual document upload pattern following identity change on 2024-11-06. Staff override recorded by Adam Greer. Customer contacted via telephone for confirmation. Handled by branch office during standard working hours.,,1,0.815,MEDIUM
DOC-00047,CUST004649,CLM014452,2026-08-30 20:35:30,PDF,4019,claim_form,"INSURANCE CLAIM FORM. Claimant: David Ferguson. Policy Number: POL-821710. Date of Incident: 2025-08-24. Description: Vehicle damage sustained in a collision on Nathaniel Shore. Estimated repair cost: N$ 60,014. Signed: David Ferguson. Follow-up scheduled with the claims handler within 5 working days.",,1,0.592,LOW
DOC-00048,CUST004560,CLM033942,2026-07-03 20:35:30,PDF,2874,kyc_update,"KYC UPDATE FORM. Customer: Mrs. Stacey Davis. Previous Address: 620 Mark Field, Terryside, KS 87086. New Address: 06987 Brian Alley, Millerfort, ID 13213. Reason for change: relocation. Verified by staff member on 2026-06-28. Supporting documents received by email attachment. Additional photographic evidence submitted separately.",,1,0.527,LOW
DOC-00049,CUST009240,CLM007694,2026-06-03 20:35:30,PNG,2804,investigation_note,INVESTIGATION NOTE. Case relates to claimant Christopher Carter. Flagged for review due to unusual document upload pattern following identity change on 2025-02-08. Staff override recorded by Ryan Parker. Additional photographic evidence submitted separately. Supporting documents received by email attachment.,,1,0.916,HIGH
DOC-00050,CUST017214,CLM048630,2026-09-06 20:35:30,JPG,2337,investigation_note,INVESTIGATION NOTE. Case relates to claimant Matthew Armstrong. Flagged for review due to unusual document upload pattern following identity change on 2026-06-14. Staff override recorded by Christopher Powell. Customer contacted via telephone for confirmation.,,1,0.68,LOW
DOC-00051,CUST001036,CLM013895,2026-08-02 20:35:30,DOCX,872,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Maria Byrd. ID Number: 284-34-4896. Date of Birth: 1961-08-20. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-11-30. Follow-up scheduled with the claims handler within 5 working days. Handled by branch office during standard working hours.,,1,0.68,LOW
DOC-00052,CUST004892,CLM022825,2026-04-12 20:35:30,PNG,752,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Catherine Davis. ID Number: 215-98-2763. Date of Birth: 1984-02-19. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2024-11-17. Customer contacted via telephone for confirmation.,,1,0.774,MEDIUM
DOC-00053,CUST003042,CLM006313,2026-07-20 20:35:30,JPG,2513,claim_form,"INSURANCE CLAIM FORM. Claimant: Joseph Warren. Policy Number: POL-565856. Date of Incident: 2024-09-21. Description: Vehicle damage sustained in a collision on Kevin Shore. Estimated repair cost: N$ 21,976. Signed: Joseph Warren. Follow-up scheduled with the claims handler within 5 working days. Supporting documents received by email attachment.",,1,0.619,LOW
DOC-00054,CUST017742,CLM038260,2026-08-10 20:35:30,JPG,1473,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Brian Andrews. ID Number: 872-62-6910. Date of Birth: 1988-05-05. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-01-07. Handled by branch office during standard working hours. Additional photographic evidence submitted separately.,,1,0.673,LOW
DOC-00055,CUST009534,CLM026603,2026-08-03 20:35:30,DOCX,2598,kyc_update,"KYC UPDATE FORM. Customer: Krystal Levine. Previous Address: 99488 Diamond Motorway, Michaelton, GU 29719. New Address: 997 Baldwin Crescent Apt. 305, Mariaport, OH 68918. Reason for change: relocation. Verified by staff member on 2026-06-28. Supporting documents received by email attachment. Handled by branch office during standard working hours.",,1,0.5,LOW
DOC-00056,CUST012786,CLM014996,2026-07-23 20:35:30,PDF,3232,claim_form,"INSURANCE CLAIM FORM. Claimant: Brian Prince. Policy Number: POL-209423. Date of Incident: 2026-01-28. Description: Vehicle damage sustained in a collision on Joshua Junctions. Estimated repair cost: N$ 46,009. Signed: Brian Prince. Supporting documents received by email attachment. Additional photographic evidence submitted separately.",,1,0.701,MEDIUM
DOC-00057,CUST007877,CLM024188,2026-03-30 20:35:30,PNG,2215,kyc_update,"KYC UPDATE FORM. Customer: Brianna Brown. Previous Address: 863 Schwartz Causeway, Hughesmouth, OH 07552. New Address: 97359 Kimberly Fields Suite 721, East Jill, DE 49941. Reason for change: relocation. Verified by staff member on 2025-08-19.",DUPGRP-005,1,1.0,HIGH
DOC-00058,CUST019440,CLM008859,2026-04-09 20:35:30,JPG,2450,kyc_update,"KYC UPDATE FORM. Customer: Brianna Brown. Previous Address: 863 Schwartz Causeway, Hughesmouth, OH 07552. New Address: 97359 Kimberly Fields Suite 721, East Jill, DE 49941. Reason for change: relocation. Verified by staff member on 2025-08-19.",DUPGRP-005,1,1.0,HIGH
DOC-00059,CUST014941,CLM040286,2026-07-08 20:35:30,PDF,3778,investigation_note,INVESTIGATION NOTE. Case relates to claimant Douglas Baker. Flagged for review due to unusual document upload pattern following identity change on 2026-03-31. Staff override recorded by Jonathan Labonte.,DUPGRP-006,1,1.0,HIGH
DOC-00060,CUST004137,CLM035643,2026-09-03 20:35:30,DOCX,2143,investigation_note,INVESTIGATION NOTE. Case relates to claimant Douglas Baker. Flagged for review due to unusual document upload pattern following identity change on 2026-03-31. Staff override recorded by Jonathan Labonte.,DUPGRP-006,1,1.0,HIGH
DOC-00061,CUST008069,CLM005539,2026-04-14 20:35:30,PNG,3202,claim_form,"INSURANCE CLAIM FORM. Claimant: Jennifer Bailey. Policy Number: POL-616165. Date of Incident: 2026-08-23. Description: Vehicle damage sustained in a collision on Jason Roads. Estimated repair cost: N$ 46,315. Signed: Jennifer Bailey. Handled by branch office during standard working hours.",,1,0.782,MEDIUM
DOC-00062,CUST017931,CLM042387,2026-07-07 20:35:30,PNG,139,kyc_update,"KYC UPDATE FORM. Customer: Margaret Montgomery. Previous Address: USCGC Newman, FPO AE 38597. New Address: 39755 Emily Freeway Apt. 491, West Todd, MA 81286. Reason for change: relocation. Verified by staff member on 2026-01-15. Additional photographic evidence submitted separately.",,1,0.498,LOW
DOC-00063,CUST001438,CLM018469,2026-07-22 20:35:30,PDF,2530,claim_form,"INSURANCE CLAIM FORM. Claimant: Melissa Hernandez. Policy Number: POL-116359. Date of Incident: 2026-06-12. Description: Vehicle damage sustained in a collision on Michael Fork. Estimated repair cost: N$ 1,255. Signed: Melissa Hernandez. Handled by branch office during standard working hours. Supporting documents received by email attachment.",,1,0.717,MEDIUM
DOC-00064,CUST000926,CLM042619,2026-08-06 20:35:30,DOCX,1822,claim_form,"INSURANCE CLAIM FORM. Claimant: Rebecca Hughes. Policy Number: POL-710711. Date of Incident: 2026-08-25. Description: Vehicle damage sustained in a collision on Robert Isle. Estimated repair cost: N$ 47,573. Signed: Rebecca Hughes. Follow-up scheduled with the claims handler within 5 working days. Customer contacted via telephone for confirmation.",,1,0.718,MEDIUM
DOC-00065,CUST001475,CLM001260,2026-06-26 20:35:30,PNG,4417,claim_form,"INSURANCE CLAIM FORM. Claimant: Sharon Jackson DVM. Policy Number: POL-985945. Date of Incident: 2026-02-28. Description: Vehicle damage sustained in a collision on Penny Trail. Estimated repair cost: N$ 7,002. Signed: Sharon Jackson DVM. Customer contacted via telephone for confirmation. Handled by branch office during standard working hours.",,1,0.74,MEDIUM
DOC-00066,CUST013727,CLM023500,2026-06-27 20:35:30,PNG,2134,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Jeffery Richards. ID Number: 006-12-2382. Date of Birth: 1978-01-25. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2024-10-04.,DUPGRP-007,1,0.924,HIGH
DOC-00067,CUST018636,CLM023654,2026-05-20 20:35:30,PDF,136,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Jeffery Richards. ID Number: 579-47-4515. Date of Birth: 2008-03-27. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2024-10-10.,DUPGRP-007,1,1.0,HIGH
DOC-00068,CUST000099,CLM021659,2026-03-21 20:35:30,PNG,3009,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Jeffery Richards. ID Number: 579-47-4515. Date of Birth: 2008-03-27. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2024-10-10.,DUPGRP-007,1,1.0,HIGH
DOC-00069,CUST009649,CLM023059,2026-04-03 20:35:30,PDF,1532,claim_form,"INSURANCE CLAIM FORM. Claimant: James Willis. Policy Number: POL-187707. Date of Incident: 2026-02-24. Description: Vehicle damage sustained in a collision on Angelica Parkway. Estimated repair cost: N$ 63,336. Signed: James Willis. Customer contacted via telephone for confirmation.",,1,0.382,LOW
DOC-00070,CUST007228,CLM027218,2026-04-05 20:35:30,PNG,1780,investigation_note,INVESTIGATION NOTE. Case relates to claimant Ethan Moses. Flagged for review due to unusual document upload pattern following identity change on 2026-02-07. Staff override recorded by Alexandra Collier. Follow-up scheduled with the claims handler within 5 working days. Supporting documents received by email attachment.,,1,0.668,LOW
DOC-00071,CUST014825,CLM014694,2026-06-20 20:35:30,JPG,2761,claim_form,"INSURANCE CLAIM FORM. Claimant: Kevin Nguyen. Policy Number: POL-713561. Date of Incident: 2024-11-05. Description: Vehicle damage sustained in a collision on Lopez Greens. Estimated repair cost: N$ 34,626. Signed: Kevin Nguyen.",DUPGRP-008,1,0.735,MEDIUM
DOC-00072,CUST019808,CLM007140,2026-05-26 20:35:30,JPG,509,claim_form,"INSURANCE CLAIM FORM. Claimant: Kevin Nguyen. Policy Number: POL-272286. Date of Incident: 2025-11-19. Description: Vehicle damage sustained in a collision on Gregory Parks. Estimated repair cost: N$ 48,479. Signed: Kevin Nguyen.",DUPGRP-008,1,0.67,LOW
DOC-00073,CUST005646,CLM009725,2026-08-12 20:35:30,DOCX,1635,claim_form,"INSURANCE CLAIM FORM. Claimant: Kevin Nguyen. Policy Number: POL-955830. Date of Incident: 2025-09-04. Description: Vehicle damage sustained in a collision on Austin Mountain. Estimated repair cost: N$ 27,922. Signed: Kevin Nguyen.",DUPGRP-008,1,0.513,LOW
DOC-00074,CUST012383,CLM017267,2026-08-24 20:35:30,DOCX,1360,kyc_update,"KYC UPDATE FORM. Customer: David Manning. Previous Address: 4564 Kevin Alley, West Justin, ND 01591. New Address: 4064 Laura Plaza Suite 368, Fosterburgh, VT 97116. Reason for change: relocation. Verified by staff member on 2024-11-16. Handled by branch office during standard working hours. Follow-up scheduled with the claims handler within 5 working days.",,1,0.463,LOW
DOC-00075,CUST018574,CLM020899,2026-08-23 20:35:30,PDF,1719,claim_form,"INSURANCE CLAIM FORM. Claimant: Sandra Walker. Policy Number: POL-993867. Date of Incident: 2025-10-18. Description: Vehicle damage sustained in a collision on Ford Turnpike. Estimated repair cost: N$ 38,636. Signed: Sandra Walker. Handled by branch office during standard working hours.",,1,0.751,MEDIUM
DOC-00076,CUST011825,CLM006401,2026-07-04 20:35:30,JPG,1580,investigation_note,INVESTIGATION NOTE. Case relates to claimant Anna Wade. Flagged for review due to unusual document upload pattern following identity change on 2025-03-13. Staff override recorded by James Ali. Handled by branch office during standard working hours.,,1,0.832,MEDIUM
DOC-00077,CUST015792,CLM029517,2026-06-10 20:35:30,PNG,3088,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Albert Vincent. ID Number: 726-08-4356. Date of Birth: 1981-05-24. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-03-21.,DUPGRP-009,1,0.923,HIGH
DOC-00078,CUST002721,CLM001179,2026-04-29 20:35:30,PNG,602,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Albert Vincent. ID Number: 624-31-9227. Date of Birth: 1982-05-11. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-04-18.,DUPGRP-009,0,0.933,HIGH
